[2026-07-15 20:07:18.000][INF] The COM:HCCoreBase ver is 6.1.4.15, 2020_03_05. Async:1.
[2026-07-15 20:07:18.000][INF] The COM:Core ver is 6.1.11.5, 2025_12_04. Async:1.
[2026-07-15 20:07:18.000][INF] This HCNetSDK ver is 6.1.11.5 Ver 2025_12_04.
[2026-07-15 20:07:18.001][INF] COM_Login dev 192.168.1.64:8000.
[2026-07-15 20:07:18.001][INF] dwTotalNum[2048]
[2026-07-15 20:07:18.002][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x10000 port=36152
[2026-07-15 20:07:18.002][INF] LogonDev1 in[192.168.1.64:8000]
[2026-07-15 20:07:18.004][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[1300] is not QULIFIED(1)
[2026-07-15 20:07:18.052][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[16777315] is not QULIFIED(1)
[2026-07-15 20:07:21.948][DBG] CComBase::Load, Load szDllPath[/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/libHCPreview.so] SUCC
[2026-07-15 20:07:21.949][INF] AbilityAnalyze---Init-- start
[2026-07-15 20:07:21.954][DBG] AbilityAnalyze---Init-- over, DeviceList path [/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/LocalXml/DeviceList.xml], load result[0]
[2026-07-15 20:07:21.955][DBG] COM_Preview_GetSDKBuildVersion
[2026-07-15 20:07:21.955][INF] The COM:Preview ver is 6.1.11.5, 2025_12_04.
[2026-07-15 20:11:37.899][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41936
[2026-07-15 20:11:38.568][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58550
[2026-07-15 20:11:38.636][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58562
[2026-07-15 20:11:38.701][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58570
[2026-07-15 20:11:38.768][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58580
[2026-07-15 20:11:38.839][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58594
[2026-07-15 20:11:39.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58610
[2026-07-15 20:11:39.899][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58626
[2026-07-15 20:11:40.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58632
[2026-07-15 20:11:40.979][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58634
[2026-07-15 20:11:41.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58650
[2026-07-15 20:11:42.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58660
[2026-07-15 20:11:42.820][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58662
[2026-07-15 20:11:42.955][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58676
[2026-07-15 20:11:43.178][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58690
[2026-07-15 20:11:43.246][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58698
[2026-07-15 20:11:43.313][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58702
[2026-07-15 20:11:43.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58714
[2026-07-15 20:11:44.166][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58720
[2026-07-15 20:11:44.260][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58736
[2026-07-15 20:11:44.329][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58738
[2026-07-15 20:11:44.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58742
[2026-07-15 20:11:44.825][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58748
[2026-07-15 20:11:45.752][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58758
[2026-07-15 20:11:46.752][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=58760
[2026-07-15 20:11:46.821][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58776
[2026-07-15 20:11:47.752][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=58786
[2026-07-15 20:11:48.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=53954
[2026-07-15 20:11:49.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=53956
[2026-07-15 20:11:50.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=53964
[2026-07-15 20:11:51.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=53972
[2026-07-15 20:11:52.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=53986
[2026-07-15 20:11:53.754][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=53996
[2026-07-15 20:11:54.754][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54006
[2026-07-15 20:11:55.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54020
[2026-07-15 20:11:56.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54028
[2026-07-15 20:11:57.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54042
[2026-07-15 20:11:58.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54226
[2026-07-15 20:11:59.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54230
[2026-07-15 20:12:00.754][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54242
[2026-07-15 20:12:01.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54256
[2026-07-15 20:12:02.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54264
[2026-07-15 20:12:03.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=54266
